Assists,AthleteID,Athlete_Name,Away,ClubID,Difficult_Saves,Fouls_Conceded,Fouls_Received,Game_Without_Being_Scored,Goals,Goals_Conceded,Missed_Passes,Missed_Penalty,Offsides,Opponent_Team,Own_Goals,Participated,Penalty_Saves,Points,Points_avg,PositionID,Price,Price_Variation,Red_Card,Round,Season,Shot_Missed,Shot_Saved,Shot_on_Post,Stolen_Balls,Team,Yellow_Card,opponentID,avg_Assists,avg_Difficult_Saves,avg_Fouls_Conceded,avg_Fouls_Received,avg_Game_Without_Being_Scored,avg_Goals,avg_Goals_Conceded,avg_Missed_Passes,avg_Missed_Penalty,avg_Offsides,avg_Own_Goals,avg_Penalty_Saves,avg_Points,avg_Price,avg_Red_Card,avg_Shot_Missed,avg_Shot_Saved,avg_Shot_on_Post,avg_Stolen_Balls,avg_Yellow_Card
0.0,79584,Yago,0,267.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Goiás,0.0,True,0.0,2.0,2.0,5,6.33,0.33,0.0,1,2015,0.0,0.0,0.0,0.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,68697,Bernardo,0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Goiás,0.0,True,0.0,-1.2,-1.2,4,6.96,-3.04,0.0,1,2015,0.0,0.0,0.0,0.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,38763,Marcinho,0,267.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Goiás,0.0,True,0.0,0.9,0.9,4,7.04,-0.96,0.0,1,2015,0.0,0.0,0.0,1.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,79343,Doriva,0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goiás,0.0,True,0.0,3.14,3.14,6,8.02,1.02,0.0,1,2015,0.0,0.0,0.0,0.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,60853,Julio Dos Santos,0,267.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,Goiás,0.0,True,0.0,0.3,0.3,4,10.52,-2.48,0.0,1,2015,0.0,1.0,0.0,1.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,78077,Madson,0,267.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,Goiás,0.0,True,0.0,4.3,4.3,2,12.89,0.89,0.0,1,2015,0.0,0.0,0.0,0.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,37613,Dagoberto,0,267.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,Goiás,0.0,True,0.0,-1.9,-1.9,5,13.53,-5.47,0.0,1,2015,0.0,0.0,0.0,0.0,Vasco,1.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,80692,Luan,0,267.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,Goiás,0.0,True,0.0,5.0,5.0,3,16.61,0.61,0.0,1,2015,0.0,0.0,0.0,2.0,Vasco,1.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,69249,Martín Silva,0,267.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,Goiás,0.0,True,0.0,7.4,7.4,1,16.93,2.93,0.0,1,2015,0.0,0.0,0.0,0.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,50533,Guiñazu,0,267.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Goiás,0.0,True,0.0,3.5,3.5,4,19.38,-1.62,0.0,1,2015,0.0,0.0,0.0,3.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
0.0,37644,Rodrigo,0,267.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,Goiás,0.0,True,0.0,6.7,6.7,3,19.54,1.54,0.0,1,2015,0.0,0.0,0.0,2.0,Vasco,0.0,290.0,,,,,,,,,,,,,,,,,,,,
